_00_30,_01_00,_01_30,_02_00,_02_30,_03_00,_03_30,_04_00,_04_30,_05_00,_05_30,_06_00,_06_30,_07_00,_07_30,_08_00,_08_30,_09_00,_09_30,_10_00,_10_30,_11_00,_11_30,_12_00,_12_30,_13_00,_13_30,_14_00,_14_30,_15_00,_15_30,_16_00,_16_30,_17_00,_17_30,_18_00,_18_30,_19_00,_19_30,_20_00,_20_30,_21_00,_21_30,_22_00,_22_30,_23_00,_23_30,_24_00
8.202,13.091,14.541,13.741,13.114,13.069,11.969,6.618,5.501,5.386,5.202,5.666,5.196,3.429,3.299,2.177,2.431,4.812,4.336,3.265,3.077,3.33,3.102,4.769,6.845,5.521,6.903,7.02,6.339,4.984,4.119,4.558,5.298,5.005,3.489,2.49,2.847,2.861,2.341,1.817,1.027,0.897,0.886,1.032,1.174,0.917,3.751,8.21
0.2011719,0.1992188,0.3007813,0.1992188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3007813,0.3007813,0.3007813,0.3984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.056,0.056,0.056,0.061,0.056,0.056,0.057,0.056,0.057,0.056,0.057,0.056,0.057,0.056,0.057,0.056,0.057,0.056,0.056,1.405,1.663,1.911,1.961,1.889,1.526,1.584,1.641,1.679,1.477,0.994,0.105,0.056,0.056,0.056,0.056,0.307,0.533,0.901,0.788,0.396,0.32,0.051,0.042,0.044,0.043,0.044,0.044,0.043
0.165,0.221,0.158,0.163,0.167,0.156,0.223,0.173,0.157,0.156,0.169,0.16,0.232,1.565,1.575,1.139,1.106,1.259,1.779,1.508,1.444,1.969,2.095,1.905,1.908,1.59,1.727,1.757,1.241,1.333,1.324,1.387,1.303,1.166,0.885,0.453,0.162,0.156,0.15,0.22,0.158,0.15,0.152,0.163,0.152,0.215,0.168,0.153
1.114,1.067,1.081,1.246,1.209,1.161,1.303,1.703,1.616,1.605,1.869,1.685,1.703,1.642,1.699,2.667,5.98,8.867,9.167,7.788,8.22,8.551,9.118,12.572,12.73,12.705,13.429,13.093,10.084,8.319,7.938,7.958,8.39,7.256,7.071,6.242,5.049,4.041,1.869,1.945,1.578,1.577,1.608,1.337,1.124,1.101,0.997,0.976
1.534,1.573,1.863,2.211,1.598,1.509,1.527,1.591,1.559,1.538,2.102,2.248,2.232,2.21,2.227,3.222,7.053,6.711,7.137,8.035,7.562,8.182,9.016,9.805,9.201,8.567,7.802,6.772,5.688,6.353,5.474,5.698,4.607,5.269,5.499,4.539,2.798,1.893,1.994,1.532,1.611,1.542,1.569,1.615,1.578,1.603,1.719,2.527
1.241,1.251,1.327,1.321,1.29,1.239,1.268,1.268,1.289,1.295,1.303,1.268,1.236,1.252,1.298,1.387,2.371,2.702,3.265,4.401,4.84,4.715,4.86,4.884,4.841,4.843,5.408,5.059,5.705,5.367,5.113,4.937,4.458,4.62,4.546,3.628,3.843,2.767,2.606,1.846,1.475,1.359,1.296,1.245,1.277,1.292,1.246,1.25
0.09960938,0.1005859,0.09960938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.324,0.316,0.319,0.32,0.32,0.322,0.322,0.372,0.323,0.322,0.321,0.323,0.321,0.322,0.363,0.414,0.664,0.806,0.717,0.727,0.768,0.869,0.775,1.156,0.993,0.823,0.725,0.762,0.734,0.791,1.054,0.414,0.364,0.379,0.376,0.383,0.426,0.383,0.385,0.386,0.437,0.34,0.322,0.327,0.326,0.326,0.372,0.328
0.3007813,0.1992188,0.3007813,0.1992188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.098,0.154,0.127,0.158,0.1,0.15,0.104,0.102,0.154,0.106,0.13,0.114,0.176,0.155,0.673,1.237,1.363,1.078,1.123,0.817,0.118,1.155,1.027,0.977,1.055,0.907,0.838,0.964,0.86,0.69,0.83,0.708,0.724,0.171,0.252,0.155,0.168,0.168,0.198,0.145,0.156,0.118,0.152,0.107,0.092,0.153,0.102,0.098
1.091,1.104,1.074,1.06,1.176,1.095,1.439,2.909,2.531,2.506,1.71,1.761,2.315,2.748,1.655,3.35,2.835,4.07,1.918,5.278,4.916,4.02,3.356,4.538,4.795,4.753,3.845,2.852,4.267,3.396,2.516,3.994,4.074,2.29,2.169,1.033,1.276,1.292,2.765,2.514,1.293,0.91,0.739,0.936,0.898,0.967,0.856,0.891
1.721,1.82,1.862,1.795,1.872,1.767,2.065,2.065,1.939,2.035,2.11,2.15,3.608,2.55,5.583,5.463,6.442,9.675,9.868,8.499,9.036,8.774,9.441,9.59,10.161,10.845,8.801,8.78,10.612,11.32,7.035,8.79,8.094,8.401,9.93,8.205,7.423,6.064,4.628,1.817,1.84,1.772,1.761,1.76,1.655,1.699,2.372,1.681
0.203125,0.296875,0.203125,0.1992188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.157,0.148,0.148,0.157,0.148,0.149,0.157,0.149,0.148,0.158,0.149,0.148,0.157,0.193,0.189,0.197,0.18,0.176,0.241,0.775,0.644,0.324,1.196,0.771,0.962,0.428,0.566,0.502,0.788,1.188,0.401,0.381,0.372,0.317,0.448,0.329,0.318,0.272,0.279,0.271,0.268,0.27,0.264,0.273,0.265,0.268,0.27,0.265
0.296875,0.203125,0.296875,0.296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1015625,0,0.09765625,0.1015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.622,0.707,0.604,0.662,0.667,0.669,0.671,0.665,0.666,0.654,0.659,0.653,0.665,0.657,0.658,1.974,2.464,2.707,2.226,1.743,1.713,1.403,1.467,1.234,1.189,1.508,1.52,1.305,1.304,1.113,1.121,1.566,1.68,1.692,1.298,0.593,0.36,0.259,0.255,0.385,0.583,0.54,0.544,0.543,0.644,0.641,0.65,0.61
5.3,5.3,5.4,5.2,5.4,5.3,5.3,5.5,5.4,8.2,16.6,19.5,20,20.6,21.2,21.7,22,23.2,23.4,23.5,24.4,24,24,23.8,23.4,23.2,23.2,23.3,23.3,23.8,23.8,23.6,23.3,23.5,23.4,22.1,13.8,15.2,15.3,15.4,15.2,15.1,15.4,15.2,11.4,10.8,10.8,10.9
1.6,1.6,1.7,1.7,1.6,1.7,1.7,1.7,1.7,1.7,1.6,1.7,2.6,2.9,3.9,10.7,15.3,13.7,13.7,13.6,13.7,13.4,14.4,15.5,13.5,12.8,11.4,11.7,10.3,9.7,9.9,9.4,9.4,11,9.5,7.1,4,2.8,2.1,1.9,1.7,1.7,1.6,1.6,1.7,1.7,1.6,1.7
6.728,6.927,5.431,5.502,6.833,7.009,7.067,7.052,6.852,7.419,6.907,6.727,6.732,7.56,7.473,17.159,13.404,15.119,13.252,13.561,12.332,11.525,10.657,10.915,12.08,11.758,11.696,12.058,11.451,11,10.058,9.701,10.021,8.695,10.538,10.545,11.022,11.388,12.433,6.121,5.171,6.917,4.544,4.362,4.231,7.312,4.744,4.485
3,2.9,3,3.1,3.1,3.1,3,3.1,3,3,3.1,3.4,5.5,6.7,12.7,13.8,15.9,14.9,15.5,15.8,18.9,18.2,18.4,17.5,15.6,15.4,12.5,12,10.8,9.8,9.1,8.5,8,7.1,6.3,5.4,5,4.6,4.3,4.3,4.3,4.1,4.1,3.9,3.4,3.2,3.2,2.9
16.2,15.9,16.3,15.8,16,16,16.7,16.5,16.5,17.8,20.3,20.8,28.4,28.2,29.8,31,33.6,37.7,37.5,41.1,39.8,38.1,41.2,40.9,39.3,39.1,39.7,39.3,37.3,37.6,38.4,37.2,34.8,34,29.9,28.7,27.4,26.1,23.1,19.4,19.5,17,16.9,16.8,17.6,16.4,16.5,16.8
6.3,6.4,6.2,6.3,6.4,6.5,6.3,6.7,7.3,6.9,7,7,7.4,9.6,17.2,28.4,41.4,42.7,32.9,33.5,33.9,35.3,35,37.1,44.7,45.8,42.2,36.4,27.6,27.3,26.9,28.3,26.5,30.3,30,28.8,27,27.1,25.8,24.4,22.7,20.4,12.6,7.3,6.8,6.7,6.8,6.9
6.4,6.7,6.2,6.6,6.4,6.6,6.2,6.6,6.4,6.3,7.7,9.5,8.8,9.6,10.1,10.6,12.1,12.6,13.2,14.1,15.4,14.9,14.7,14.4,14.7,14.2,14.3,14.7,14.2,14.1,13.5,13.7,12.7,12,10.4,9.7,9.1,8.9,8.2,6.9,7.1,6.9,6.8,6.9,6.5,6.4,6.3,6.3
20.1,20.2,20.2,20.1,20.6,20.1,20.7,20.1,20.5,21.3,24.3,22.8,23.9,27.2,31.3,32.3,35.7,37.6,38.2,41.7,43.4,39.8,41.9,40.3,41.7,43.9,42.6,45,43.2,45.3,43.5,42.2,41.8,38.5,34.6,32.5,30.1,29.8,27.9,27.8,24.8,24.3,23.9,23.8,21.8,18.8,18,17.6
2.6,2.5,2.9,2.9,2.7,2.6,2.6,2.6,2.6,2.9,2.5,2.7,4,4.6,5.3,8.8,13.3,14.8,12.2,9.8,13.7,10.9,14.8,14.6,12.9,15.3,13.4,16,15.3,14.6,14.8,10.5,10.2,10.7,6.4,3.2,2.8,2.9,2.8,2.5,2.2,2.5,1.7,2.3,1.8,1.8,1.8,1.9
